[08-Jul-2026 15:35:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:50:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:55:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 16:00:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 16:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 16:10:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 16:15:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 13:40:07 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 13:45:09 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 13:50:08 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 13:55:07 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 14:00:07 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 14:05:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 14:10:07 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 14:15:07 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 14:20:07 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[09-Jul-2026 14:25:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
